TICKER;EMPRESA;CNPJ
BBPO11;BB PROGRESSIVO II FUNDO DE INVESTIMENTO IMOBILIÁRIO;14.410.722/0001-29
BBRC11;BB RENDA CORPORATIVA FUNDO DE INVESTIMENTO IMOBILIÁRIO;12.681.340/0001-04
BCFF11;FUNDO DE INVESTIMENTO IMOBILIÁRIO BTG PACTUAL FUNDO DE FUNDOS;11.026.627/0001-38
BCIA11;BRADESCO CARTEIRA IMOBILIÁRIA ATIVA FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIÁRIO;20.216.935/0001-17
BCRI11;BANESTES RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO;22.219.335/0001-38
BICE11;BRIO CRÉDITO ESTRUTURADO FUNDO DE INVESTIMENTO IMOBILIÁRIO;39.332.032/0001-20
BICR11;INTER TÍTULOS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIARIO;34.007.109/0001-72
BIME11;BRIO MULTIESTRATÉGIA FUNDO DE INVESTIMENTO IMOBILIÁRIO;41.081.356/0001-84
BIPD11;BRIO REAL ESTATE IV FUNDO DE INVESTIMENTO IMOBILIÁRIO;42.869.892/0001-01
BLCA11;BLUEMACAW CATUAÍ TRIPLE A FUNDO DE INVESTIMENTO IMOBILIÁRIO;41.076.748/0001-55
BLMC11;BLUEMACAW CRÉDITO IMOBILIÁRIO FUNDO DE INVESTIMENTO IMOBILIÁRIO;38.294.221/0001-92
BLMG11;BLUEMACAW LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO;34.081.637/0001-71
BLMO11;BLUEMACAW OFFICE FUND II FUNDO DE INVESTIMENTO IMOBILIÁRIO;34.895.894/0001-47
BLMR11;BLUEMACAW RENDA+ FOF FUNDO DE INVESTIMENTO IMOBILIÁRIO;36.368.869/0001-30
BLUR11;FUNDO DE INVESTIMENTO IMOBILIÁRIO BLUE RECEBÍVEIS IMOBILIÁRIOS;38.051.307/0001-94
BMII11;FUNDO BRASÍLIO MACHADO DE INVESTIMENTO IMOBILIÁRIO;02.027.437/0001-44
BMLC11;FUNDO DE INVESTIMENTO IMOBILIÁRIO BM BRASCAN LAJES CORPORATIVAS;14.376.247/0001-11
BNFS11;BANRISUL NOVAS FRONTEIRAS FUNDO DE INVESTIMENTO IMOBILIÁRIO;15.570.431/0001-60
BPFF11;FUNDO DE INVESTIMENTO IMOBILIÁRIO BRASIL PLURAL ABSOLUTO FUNDO DE FUNDOS;17.324.357/0001-28
BPLC11;BASÍLICA PARTNERS LED CORPORATE FUNDO DE INVESTIMENTO IMOBILIÁRIO;28.267.555/0001-13
BPML11;FUNDO DE INVESTIMENTO IMOBILIÁRIO BTG PACTUAL SHOPPINGS;33.046.142/0001-49
BPRP11;FUNDO DE INVESTIMENTO IMOBILIÁRIO BRLPROP;29.800.650/0001-01
BRCO11;BRESCO LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO;20.748.515/0001-81
BRCR11;FUNDO DE INVESTIMENTO IMOBILIÁRIO BTG PACTUAL CORPORATE OFFICE FUND;08.924.783/0001-01
BREV11;BRAZIL REAL ESTATE VICTORY FUND I FUNDO DE INVESTIMENTO IMOBILIÁRIO;26.195.121/0001-20
BRHT11B;FUNDO DE INVESTIMENTO IMOBILIÁRIO BR HOTÉIS;15.461.076/0001-91
BRIM11;BRIO REAL ESTATE II FUNDO DE INVESTIMENTO IMOBILIÁRIO;23.964.843/0001-03
BRIP11;BRIO REAL ESTATE III FUNDO DE INVESTIMENTO IMOBILIÁRIO;34.895.752/0001-80
BRIX11;BRIX FUNDO DE INVESTIMENTO IMOBILIÁRIO;35.360.651/0001-77
BRLA11;FUNDO DE INVESTIMENTO IMOBILIÁRIO BRL PROP II;35.652.278/0001-28
